route,start_process_time
"{'pkRouteMonitoringDetail': 0, 'fkRouteMonitoringSource': None, 'monitoringDays': 1, 'interval': 5, 'iataCodeOrigin': 'MHD', 'iataCodeDestination': 'THR', 'fkAirportOrigin': None, 'fkAirportDestination': None, 'description': None, 'sourceName': None, 'sourceAddress': None}",2023-04-25 09:46:51.986516
"{'pkRouteMonitoringDetail': 0, 'fkRouteMonitoringSource': None, 'monitoringDays': 1, 'interval': 5, 'iataCodeOrigin': 'MHD', 'iataCodeDestination': 'BND', 'fkAirportOrigin': None, 'fkAirportDestination': None, 'description': None, 'sourceName': None, 'sourceAddress': None}",2023-04-10 17:02:09.985854
"{'pkRouteMonitoringDetail': 0, 'fkRouteMonitoringSource': None, 'monitoringDays': 1, 'interval': 5, 'iataCodeOrigin': 'MHD', 'iataCodeDestination': 'NJF', 'fkAirportOrigin': None, 'fkAirportDestination': None, 'description': None, 'sourceName': None, 'sourceAddress': None}",2023-04-10 16:56:23.835427
"{'pkRouteMonitoringDetail': 0, 'fkRouteMonitoringSource': None, 'monitoringDays': 1, 'interval': 5, 'iataCodeOrigin': 'THR', 'iataCodeDestination': 'MHD', 'fkAirportOrigin': None, 'fkAirportDestination': None, 'description': None, 'sourceName': None, 'sourceAddress': None}",2023-04-10 16:56:39.572697
"{'pkRouteMonitoringDetail': 0, 'fkRouteMonitoringSource': None, 'monitoringDays': 1, 'interval': 5, 'iataCodeOrigin': 'BND', 'iataCodeDestination': 'MHD', 'fkAirportOrigin': None, 'fkAirportDestination': None, 'description': None, 'sourceName': None, 'sourceAddress': None}",2023-04-10 16:51:55.600835
"{'pkRouteMonitoringDetail': 0, 'fkRouteMonitoringSource': None, 'monitoringDays': 1, 'interval': 5, 'iataCodeOrigin': 'MHD', 'iataCodeDestination': 'TBZ', 'fkAirportOrigin': None, 'fkAirportDestination': None, 'description': None, 'sourceName': None, 'sourceAddress': None}",2023-04-10 16:52:29.145535
"{'pkRouteMonitoringDetail': 0, 'fkRouteMonitoringSource': None, 'monitoringDays': 1, 'interval': 5, 'iataCodeOrigin': 'NJF', 'iataCodeDestination': 'MHD', 'fkAirportOrigin': None, 'fkAirportDestination': None, 'description': None, 'sourceName': None, 'sourceAddress': None}",2023-04-10 16:52:43.377208
"{'pkRouteMonitoringDetail': 0, 'fkRouteMonitoringSource': None, 'monitoringDays': 1, 'interval': 5, 'iataCodeOrigin': 'MHD', 'iataCodeDestination': 'KIH', 'fkAirportOrigin': None, 'fkAirportDestination': None, 'description': None, 'sourceName': None, 'sourceAddress': None}",2023-04-10 16:52:58.344489
"{'pkRouteMonitoringDetail': 0, 'fkRouteMonitoringSource': None, 'monitoringDays': 1, 'interval': 5, 'iataCodeOrigin': 'TBZ', 'iataCodeDestination': 'MHD', 'fkAirportOrigin': None, 'fkAirportDestination': None, 'description': None, 'sourceName': None, 'sourceAddress': None}",2023-04-10 16:53:36.462141
"{'pkRouteMonitoringDetail': 0, 'fkRouteMonitoringSource': None, 'monitoringDays': 1, 'interval': 5, 'iataCodeOrigin': 'KIH', 'iataCodeDestination': 'MHD', 'fkAirportOrigin': None, 'fkAirportDestination': None, 'description': None, 'sourceName': None, 'sourceAddress': None}",2023-04-10 16:53:51.473073
"{'pkRouteMonitoringDetail': 0, 'fkRouteMonitoringSource': None, 'monitoringDays': 1, 'interval': 5, 'iataCodeOrigin': 'MHD', 'iataCodeDestination': 'AWZ', 'fkAirportOrigin': None, 'fkAirportDestination': None, 'description': None, 'sourceName': None, 'sourceAddress': None}",2023-04-10 16:54:06.323243
"{'pkRouteMonitoringDetail': 0, 'fkRouteMonitoringSource': None, 'monitoringDays': 1, 'interval': 5, 'iataCodeOrigin': 'MHD', 'iataCodeDestination': 'ABD', 'fkAirportOrigin': None, 'fkAirportDestination': None, 'description': None, 'sourceName': None, 'sourceAddress': None}",2023-04-10 16:54:20.271739
"{'pkRouteMonitoringDetail': 0, 'fkRouteMonitoringSource': None, 'monitoringDays': 1, 'interval': 5, 'iataCodeOrigin': 'AWZ', 'iataCodeDestination': 'MHD', 'fkAirportOrigin': None, 'fkAirportDestination': None, 'description': None, 'sourceName': None, 'sourceAddress': None}",2023-04-10 16:54:32.453900
"{'pkRouteMonitoringDetail': 0, 'fkRouteMonitoringSource': None, 'monitoringDays': 1, 'interval': 5, 'iataCodeOrigin': 'ABD', 'iataCodeDestination': 'MHD', 'fkAirportOrigin': None, 'fkAirportDestination': None, 'description': None, 'sourceName': None, 'sourceAddress': None}",2023-04-10 16:55:07.455705
